no,date,username,tweet
1,Sun Mar 10 14:16:58 +0000 2019,Denok44107312,"RT @Diann666: Prabowo menang FPI berkuasa???
Tidak ada yg aneh kalau melihat seperti ini...."
2,Sun Mar 10 14:16:58 +0000 2019,zidanelaw02,@AL82985951 @diah_soewarno @prabowo @sandiuno Terimakasih infonya ? saya lihat ini orang saat di Singapore.… https://t.co/wqi9e8O861
3,Sun Mar 10 14:16:58 +0000 2019,Alex11579464,RT @pedjoeang_islam: info trbaru psawat pribadi prabowo tdk dpt ijin untuk mndarat di bandara samsudinnoor banjarmasin.utk menghadiri haul…
4,Sun Mar 10 14:16:58 +0000 2019,sigitigisigit,"RT @Jhonkosmik: Saya belum pernah menemui yang dulu mendukung Prabowo kemudian membelot pro Jokowi.

Tetapi 7 dari 10 pro jokowi yg sy temu…"
5,Sun Mar 10 14:16:59 +0000 2019,tris_bdg,@iRwanS121 @jokowi @prabowo @sandiuno @SBYudhoyono @AgusYudhoyono @PDemokrat @Demokrat_TV @eliya_mkom… https://t.co/f5IpfJpPnz
6,Sun Mar 10 14:16:59 +0000 2019,NansRanca,@Bellysetiawan92 @richan51yahooc1 @Majapahitprabu @Winarko_yuli @Miqdad_92 @Suparno08052468 @bocah_kinei… https://t.co/UpVyvsT5Qc
7,Sun Mar 10 14:16:59 +0000 2019,drobbyilham,"RT @AnakMelayu_riau: MANTAP : Waketum Gerindra Ungkap Survei Independen: Prabowo 54,3 persen, JAE 40,4 persen

Insya Allah 17 April kita Pu…"
8,Sun Mar 10 14:16:59 +0000 2019,rikiarya757,"RT @zidanelaw02: Tagar kita Minggu sore ceria ? 

#RakyatPilihPrabowoDanSandi #RakyatPilihPrabowoDanSandi 

Mari berjuang bersama untuk mew…"
9,Sun Mar 10 14:16:59 +0000 2019,DayatJastra,"RT @BasukiAyu: Percuma para elite punya gelar berderet tapi kepintarannya bukan untuk rakyat,"" kata Prabowo.
Memang saya tak punya gelar ta…"
10,Sun Mar 10 14:16:59 +0000 2019,VaniVirgayanti,Bagus!
11,Sun Mar 10 14:16:59 +0000 2019,Wawank01986738,"RT @TopeRendusara: BREAKING NEWS : 
Pesawat pribadi pak prabowo tdk dapat ijin mendarat di bandara samsudinnoor. Utk menghadiri haul guru s…"
12,Sun Mar 10 14:17:00 +0000 2019,Denok44107312,"RT @Dzenni666: Bisa jadi kalau Prabowo menang FPI berkuasa kalau kaya gini terus...

Ehmmmm..."
13,Sun Mar 10 14:17:00 +0000 2019,majisyafii,"RT @pengarang_puisi: Mari berandai2, jika Prabowo menang, ekonomi NKRI akan bagaimana..?"
14,Sun Mar 10 14:17:01 +0000 2019,nanosu35,@DoraemonLTE_PhP @Bellysetiawan92 @Suparno08052468 @Vife70664464 @senapati_New @shabahate @SusandraWardan1… https://t.co/SCst0v0oKA
15,Sun Mar 10 14:17:01 +0000 2019,aiek_esthreem,"@naga_ulung @prabowo @sandiuno #ILCSambharMenyambar

Indonesia Menang bersama Paslon 02 Capres @prabowo Cawapres… https://t.co/CKjaFQfxyI"
16,Sun Mar 10 14:17:01 +0000 2019,Taryn165,"RT @RelawanProSandi: Rezim luarbiasa!
Bermusik aja dilarang

Kalian ini makhluk apa sih?

#RakyatPilihPrabowoDanSandi @prabowo @sandiuno

B…"
17,Sun Mar 10 14:17:01 +0000 2019,iwan_wansenk,RT @habibthink: Hanya Prabowo yang bisa berbicara seperti ini. Pak Jokowi jangan coba-coba ya. https://t.co/FhsfXYmrUT
18,Sun Mar 10 14:17:02 +0000 2019,RujackX,RT @RanupsProSandi: Saya mau tmpil tentuny apa adany. Sy ingn masyarakat mngerti knp @Prabowo–@sandiuno hadir dlm kontestasi pilpres ini. K…
